162.159.160.252:443#UNKNOWN|CM|UNKNOWN|154|260|S50
104.16.157.204:443#UNKNOWN|CM|HKG|-|647|S45
104.17.160.210:443#UNKNOWN|CM|HKG|-|647|S45
104.17.187.27:443#UNKNOWN|CM|HKG|-|647|S45
104.17.24.40:443#UNKNOWN|CM|HKG|-|647|S45
104.17.49.35:443#UNKNOWN|CM|HKG|-|647|S45
104.19.62.233:443#UNKNOWN|CU|LAX|-|645|S45
104.19.97.15:443#UNKNOWN|CU|LAX|-|645|S45
104.21.209.149:443#UNKNOWN|CT|AMS|-|645|S45
172.64.187.6:443#UNKNOWN|CU|LAX|-|645|S45
104.20.1.248:443#UNKNOWN|CT|FRA|-|644|S45
104.21.57.62:443#UNKNOWN|CU|LAX|-|644|S45
104.27.42.99:443#UNKNOWN|CT|FRA|-|644|S45
104.21.127.2:443#UNKNOWN|CU|LAX|-|643|S45
104.25.206.98:443#UNKNOWN|CT|FRA|-|642|S45
104.25.152.188:443#UNKNOWN|CT|FRA|-|400|S40
[2405:8100:52::b02a:3214]:443#UNKNOWN|CM|LAX|-|647|S45
[2606:4700:52::c533:7d90]:443#UNKNOWN|CT|NRT|-|647|S45
[2606:4700:57::324:d241]:443#UNKNOWN|CT|NRT|-|647|S45
[2606:4700:91b8::eabd:6ca5]:443#UNKNOWN|CM|HKG|-|647|S45
[2606:4700:9645::ac39:2b17]:443#UNKNOWN|CT|FRA|-|647|S45
[2606:4700:9764::d0f7:bda9]:443#UNKNOWN|CU|AMS|-|647|S45
[2606:4700:99e3::d35:884f]:443#UNKNOWN|CU|AMS|-|647|S45
[2606:4700:9a62::2479:ca57]:443#UNKNOWN|CU|AMS|-|647|S45
[2606:4700:9a91::dc83:5e53]:443#UNKNOWN|CT|FRA|-|647|S45
[2606:4700:9ae7::8d9c:1200]:443#UNKNOWN|CU|AMS|-|647|S45
[2606:4700:9c61::3146:8b4b]:443#UNKNOWN|CU|AMS|-|647|S45
[2a06:98c1:310b::5afa:1491]:443#UNKNOWN|CT|SIN|-|647|S45
[2606:4700:2e::4b45:7a8c]:443#UNKNOWN|CM|SEA|-|645|S45
[2606:4700:3055::330e:dbf3]:443#UNKNOWN|CM|LAX|-|645|S45
[2606:4700:49::aac2:aa93]:443#UNKNOWN|CM|LAX|-|645|S45
