[2606:4700:52::68a4:414e]:443#JP|UNKNOWN|NRT|-|645mbps|S45
108.162.198.1:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.10:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.11:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.12:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.13:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.14:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.15:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.16:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.17:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.18:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.19:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.2:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.3:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.4:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.5:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.6:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.7:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.8:443#JP|UNKNOWN|UNKNOWN|-|-|S5
108.162.198.9:443#JP|UNKNOWN|UNKNOWN|-|-|S5
139.162.102.152:7002#JP|UNKNOWN|UNKNOWN|-|-|S5
139.162.83.106:386#JP|UNKNOWN|UNKNOWN|-|-|S5
139.162.83.190:74#JP|UNKNOWN|UNKNOWN|-|-|S5
139.162.83.190:4399#JP|UNKNOWN|UNKNOWN|-|-|S5
168.138.46.67:443#JP|UNKNOWN|UNKNOWN|-|-|S5
172.104.113.18:74#JP|UNKNOWN|UNKNOWN|-|-|S5
210.138.37.53:443#JP|UNKNOWN|UNKNOWN|-|-|S5
