104.16.0.8:443#US|UNKNOWN|IAD|118|-|S30
103.31.4.3:443#US|UNKNOWN|UNKNOWN|-|-|S5
103.31.4.5:443#US|UNKNOWN|UNKNOWN|-|-|S5
103.31.4.7:443#US|UNKNOWN|UNKNOWN|-|-|S5
103.31.4.8:443#US|UNKNOWN|UNKNOWN|-|-|S5
103.31.4.9:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.16.0.3:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.16.0.5:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.16.0.6:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.16.0.7:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.16.0.9:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.17.0.1:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.17.0.2:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.18.0.1:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.18.0.5:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.18.0.9:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.19.0.2:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.19.0.3:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.19.0.6:443#US|UNKNOWN|UNKNOWN|-|-|S5
104.19.0.9:443#US|UNKNOWN|UNKNOWN|-|-|S5
