188.114.96.1:443#NL|UNKNOWN|SJC|121|-|S30
104.20.0.1:443#NL|UNKNOWN|UNKNOWN|-|-|S5
104.20.0.2:443#NL|UNKNOWN|UNKNOWN|-|-|S5
104.20.0.3:443#NL|UNKNOWN|UNKNOWN|-|-|S5
104.20.0.4:443#NL|UNKNOWN|UNKNOWN|-|-|S5
104.20.0.5:443#NL|UNKNOWN|UNKNOWN|-|-|S5
104.20.0.6:443#NL|UNKNOWN|UNKNOWN|-|-|S5
104.20.0.7:443#NL|UNKNOWN|UNKNOWN|-|-|S5
104.20.0.8:443#NL|UNKNOWN|UNKNOWN|-|-|S5
104.20.0.9:443#NL|UNKNOWN|UNKNOWN|-|-|S5
188.114.96.2:443#NL|UNKNOWN|UNKNOWN|-|-|S5
188.114.96.3:443#NL|UNKNOWN|UNKNOWN|-|-|S5
188.114.96.4:443#NL|UNKNOWN|UNKNOWN|-|-|S5
188.114.96.5:443#NL|UNKNOWN|UNKNOWN|-|-|S5
188.114.96.6:443#NL|UNKNOWN|UNKNOWN|-|-|S5
188.114.96.7:443#NL|UNKNOWN|UNKNOWN|-|-|S5
188.114.96.8:443#NL|UNKNOWN|UNKNOWN|-|-|S5
188.114.96.9:443#NL|UNKNOWN|UNKNOWN|-|-|S5
