104.16.0.89:443#UNKNOWN|CT|SJC|129|340|S65
172.67.69.120:443#UNKNOWN|UNKNOWN|MIA|63|-|S35
162.159.195.131:443#UNKNOWN|UNKNOWN|IAD|81|-|S35
104.17.121.2:443#UNKNOWN|UNKNOWN|IAD|83|-|S35
104.27.196.123:443#UNKNOWN|UNKNOWN|EWR|103|-|S25
188.114.97.243:443#UNKNOWN|UNKNOWN|WAW|103|-|S25
190.93.247.134:443#UNKNOWN|UNKNOWN|IAD|104|-|S25
104.16.140.106:443#UNKNOWN|UNKNOWN|IAD|106|-|S25
162.159.195.23:443#UNKNOWN|UNKNOWN|IAD|107|-|S25
104.16.148.39:443#UNKNOWN|UNKNOWN|IAD|109|-|S25
162.159.193.127:443#UNKNOWN|UNKNOWN|IAD|109|-|S25
8.6.112.236:443#UNKNOWN|UNKNOWN|IAD|110|-|S25
172.64.146.53:443#UNKNOWN|UNKNOWN|IAD|111|-|S25
104.16.140.146:443#UNKNOWN|UNKNOWN|IAD|113|-|S25
141.101.115.14:443#UNKNOWN|UNKNOWN|IAD|113|-|S25
104.16.148.46:443#UNKNOWN|UNKNOWN|IAD|114|-|S25
8.6.112.245:443#UNKNOWN|UNKNOWN|IAD|118|-|S25
104.17.222.94:443#UNKNOWN|UNKNOWN|IAD|122|-|S25
104.18.79.117:443#UNKNOWN|UNKNOWN|IAD|124|-|S25
104.27.196.222:443#UNKNOWN|UNKNOWN|EWR|129|-|S25
104.16.140.234:443#UNKNOWN|UNKNOWN|IAD|136|-|S25
141.101.115.184:443#UNKNOWN|UNKNOWN|IAD|137|-|S25
162.159.195.39:443#UNKNOWN|UNKNOWN|IAD|137|-|S25
141.101.115.50:443#UNKNOWN|UNKNOWN|IAD|139|-|S25
172.66.147.24:443#UNKNOWN|UNKNOWN|IAD|139|-|S25
104.17.222.176:443#UNKNOWN|UNKNOWN|IAD|140|-|S25
104.18.79.186:443#UNKNOWN|UNKNOWN|IAD|140|-|S25
104.16.147.28:443#UNKNOWN|UNKNOWN|IAD|141|-|S25
104.17.148.156:443#UNKNOWN|UNKNOWN|IAD|141|-|S25
104.17.222.189:443#UNKNOWN|UNKNOWN|IAD|141|-|S25
104.19.220.134:443#UNKNOWN|UNKNOWN|IAD|141|-|S25
104.16.147.51:443#UNKNOWN|UNKNOWN|IAD|142|-|S25
104.19.220.249:443#UNKNOWN|UNKNOWN|IAD|142|-|S25
104.20.29.202:443#UNKNOWN|UNKNOWN|IAD|142|-|S25
104.20.29.224:443#UNKNOWN|UNKNOWN|IAD|142|-|S25
